00Z 29 09 2017, 50.04, 11.05
12Z 29 09 2017, 45.47, 16.05
00Z 30 09 2017, 7.35, 10.08
12Z 30 09 2017, 1.12, 11.39
00Z 01 10 2017, 0.30, 13.25
12Z 01 10 2017, 0.00, 11.43
21Z 01 10 2017, 0.00, 9.01
12Z 02 10 2017, 0.00, 9.72
00Z 04 10 2017, 0.00, 14.37
12Z 04 10 2017, 0.00, 28.44
00Z 05 10 2017, 8.78, 14.03
12Z 05 10 2017, 0.00, 8.11
00Z 06 10 2017, 0.00, 7.10
12Z 06 10 2017, 0.00, 9.78
00Z 07 10 2017, 0.00, 24.33
12Z 07 10 2017, 0.00, 17.91
00Z 08 10 2017, 0.00, 13.22
12Z 08 10 2017, 0.00, 22.75
00Z 09 10 2017, 8.54, 11.47
12Z 09 10 2017, 0.00, 9.85
00Z 10 10 2017, 0.00, 10.87
12Z 10 10 2017, 0.00, 20.51
00Z 11 10 2017, 48.12, 33.01
12Z 11 10 2017, 0.68, 10.25
00Z 12 10 2017, 12.99, 14.66
12Z 12 10 2017, 16.34, 17.39
00Z 13 10 2017, 13.70, 18.08
12Z 13 10 2017, 0.00, 17.13
00Z 14 10 2017, 0.00, 14.60
12Z 14 10 2017, 0.00, 14.81
00Z 15 10 2017, 0.00, 15.10
12Z 15 10 2017, 0.00, 11.30
00Z 16 10 2017, 0.00, 15.75
12Z 16 10 2017, 0.00, 16.21
00Z 17 10 2017, 0.00, 13.30
12Z 17 10 2017, 0.00, 22.85
00Z 18 10 2017, 0.00, 22.54
12Z 18 10 2017, 0.00, 35.51
00Z 19 10 2017, 0.00, 18.50
12Z 19 10 2017, 0.00, 11.34
00Z 20 10 2017, 0.00, 8.93
12Z 20 10 2017, 0.00, 8.93
00Z 21 10 2017, 0.00, 10.21
12Z 21 10 2017, 0.00, 13.29
00Z 22 10 2017, 0.00, 17.07
12Z 22 10 2017, 0.00, 19.18
00Z 23 10 2017, 0.00, 16.30
12Z 23 10 2017, 0.00, 16.51
00Z 24 10 2017, 0.00, 20.56
12Z 24 10 2017, 0.00, 21.30
00Z 25 10 2017, 0.00, 20.24
12Z 25 10 2017, 0.00, 22.61
00Z 26 10 2017, 1.65, 16.89
12Z 26 10 2017, 0.00, 11.78
00Z 27 10 2017, 0.00, 20.92
12Z 27 10 2017, 0.00, 22.78
00Z 28 10 2017, 2.01, 10.95
12Z 28 10 2017, 0.00, 20.10
00Z 29 10 2017, 0.00, 17.48
12Z 29 10 2017, 167.09, 15.87
00Z 30 10 2017, 53.87, 10.72
12Z 30 10 2017, 0.71, 14.35
00Z 31 10 2017, 5.79, 12.92
12Z 31 10 2017, 0.00, 16.03
00Z 01 11 2017, 0.26, 19.69
12Z 01 11 2017, 0.00, 17.87
00Z 02 11 2017, 0.00, 20.87
12Z 02 11 2017, 0.00, 23.29
00Z 03 11 2017, 0.00, 11.05
00Z 04 11 2017, 0.00, 5.96
12Z 04 11 2017, 0.00, 9.09
12Z 05 11 2017, 0.27, 15.65
00Z 06 11 2017, 0.00, 10.58
12Z 06 11 2017, 0.00, 13.29
00Z 07 11 2017, 0.00, 11.08
12Z 07 11 2017, 0.00, 11.62
00Z 08 11 2017, 0.00, 7.51
12Z 08 11 2017, 0.00, 7.54
00Z 09 11 2017, 0.00, 8.58
12Z 09 11 2017, 0.00, 13.42
00Z 10 11 2017, 0.00, 17.90
12Z 10 11 2017, 0.00, 21.42
00Z 11 11 2017, 0.00, 22.57
12Z 11 11 2017, 0.00, 24.22
00Z 12 11 2017, 0.00, 19.16
12Z 12 11 2017, 0.00, 20.17
00Z 13 11 2017, 0.00, 18.30
12Z 13 11 2017, 0.00, 21.12
00Z 14 11 2017, 0.00, 21.38
12Z 14 11 2017, 150.32, 38.29
00Z 15 11 2017, 180.09, 35.67
12Z 15 11 2017, 12.03, 16.85
00Z 16 11 2017, 7.88, 15.22
12Z 16 11 2017, 0.01, 17.60
00Z 17 11 2017, 1.60, 27.00
12Z 17 11 2017, 13.37, 23.21
